vx,vy,omega,vx_cmd,vy_cmd,omega_cmd,filtered_x,filtered_y,x,y,filtered_theta
0.0,0.0,0.0,0.0,0.0,-3.41724,-0.141153,-0.0826446,-0.141153,-0.0826446,1.38151
-0.04753753687291352,0.27863467139439935,-0.13795218199703288,0.0,0.0,-3.65059,-0.14263166575075387,-0.07397760602711255,-0.142975,-0.0719652,1.3763391829368958
-0.06883441055587448,0.3968733798243557,-0.3086789923058558,0.0,0.0,-3.86224,-0.1443464385998761,-0.06422195564193144,-0.144808,-0.0616594,1.3653590153462922
-0.0813978219981082,0.4653802047095308,-0.46634242338601467,0.0,0.0,-4.06502,-0.14614700215415036,-0.05405925428384872,-0.146638,-0.0513819,1.3504015675648648
-0.0906420513664949,0.5082631330244333,-0.6480982796706954,0.0,0.0,-4.23785,-0.14802801289134962,-0.0439288999716923,-0.148531,-0.0415956,1.3295265872302247
-0.09883879189849298,0.5301245660642933,-0.830206253543227,0.0,0.0,-4.36732,-0.15001868654358158,-0.03435539296173522,-0.150549,-0.032941,1.3041733967560485
-0.106260309443161,0.5307938130694494,-0.990494849054915,0.0,0.0,-4.44958,-0.15209699645750874,-0.02582859213646512,-0.152617,-0.0257817,1.2766055154928422
-0.1082641941287161,0.510489617895393,-1.10078450577774,0.0,0.0,-4.49369,-0.15393129758838683,-0.018695014830399762,-0.154076,-0.0201612,1.2503426209458404
-0.10424319963736516,0.4702899161201375,-1.2291397672698299,0.0,0.0,-4.47858,-0.15539555762382656,-0.013206169027164144,-0.155103,-0.016131,1.2201071724967245
-0.09602177439749861,0.4172917434412486,-1.3482336834512139,0.0,0.0,-4.43179,-0.15651775548216365,-0.009199259813940503,-0.15592,-0.0130526,1.1883193543199388
-0.08489193711327057,0.3606594727397463,-1.496641043337002,0.0,0.0,-4.35244,-0.1573172130607184,-0.00627213460004274,-0.15651,-0.0103795,1.1512609910177896
-0.07091099948598564,0.30507757217764586,-1.6773380790772467,0.0,0.0,-4.23474,-0.1577509540655139,-0.0041770971745380804,-0.156739,-0.00820017,1.107962295294056
-0.05596459300098579,0.25182720092037925,-1.8983171599867996,0.0,0.0,-4.06901,-0.15789759596303216,-0.0028156222825576876,-0.156817,-0.00666552,1.056810952390581
-0.042159397244203194,0.19967571278508273,-2.144876670917113,0.0,0.0,-3.85214,-0.15788059890763528,-0.002233249502628106,-0.156883,-0.00600185,0.9984279891245945
-0.029017720654396326,0.14928555454712653,-2.385497341963526,1.6122807802235184e-05,0.15659528685760332,-3.60115,-0.15768652820216145,-0.0023690597605845664,-0.156737,-0.00600991,0.9358932697334676
-0.01659461896943331,0.10163561536537918,-2.631249830097359,1.865027662162344e-05,0.1297204461851993,-3.31528,-0.1573296278710768,-0.0031302164597857268,-0.156432,-0.00657315,0.8682594559113649
-0.009062727741397356,0.056703347597241584,-2.861628155230967,1.9430109548988772e-05,0.12429184138615393,-3.00353,-0.1570972471693172,-0.004474287825211087,-0.156553,-0.00772105,0.7978224410211827
-0.00611229223435658,0.01689501829066862,-3.0674486407273913,1.639816411580508e-05,0.14585388977514524,-2.68257,-0.15704720672455147,-0.006198638747426817,-0.156834,-0.0090753,0.7263808497425788
-0.0060327724167999015,-0.013373746565403109,-3.2446341899467273,0.0,0.15287767320790302,-2.37064,-0.15713974651780996,-0.007929320782145925,-0.157134,-0.0101167,0.6551783840759969
-0.007230456227070775,-0.034008295520113155,-3.351519428481907,0.0,0.0,-2.08708,-0.15731544756191732,-0.009507413006028354,-0.157402,-0.0109986,0.5900445595534892
-0.00879045365712651,-0.04408924274989219,-3.4159674458423406,0.0,0.0,-1.83043,-0.15753426353803296,-0.010717979361397822,-0.157647,-0.0114465,0.5288019044011613
-0.009022353159157398,-0.0441159292319989,-3.4074311178466403,0.0,0.0,-1.61591,-0.15769024125612646,-0.011425171440798295,-0.157707,-0.0114271,0.47512656196672987
-0.00680665021175847,-0.036833378305229876,-3.3113420926229717,0.0,0.0,-1.44715,-0.1576881228647813,-0.011649590276717301,-0.157528,-0.0111233,0.4311272009123653
-0.0025354483772977044,-0.024676417508989655,-3.139499127308683,2.310446257283716e-05,0.16249896675804992,-1.32043,-0.1575146681223387,-0.011435250442651717,-0.157206,-0.0105567,0.39605533741295595
0.0018817781503124202,-0.011091027973961557,-2.914627068599653,0.6262997909994762,0.026412184745158773,-1.22483,-0.15726322081357832,-0.010931968741262926,-0.156944,-0.00995019,0.36852283823844845
0.006659453174458451,0.002664568303470713,-2.6447042058253225,0.0,0.0,-1.16364,-0.15691726935105285,-0.010200068872265482,-0.156572,-0.00920599,0.34875545247176315
0.01109462341211788,0.014138621487502754,-2.356770015970328,0.0,0.0,-1.12347,-0.15651751743889816,-0.009398907966089333,-0.156197,-0.00856971,0.33491241527499355
0.014635742421433211,0.022568087452257253,-2.0906395645528186,0.0,0.0,-1.09224,-0.156105906827622,-0.008615434074046444,-0.15585,-0.00800626,0.32365749538366384
0.016700669572116973,0.027864802872022393,-1.8432197672048907,0.0,0.0,-1.07059,-0.15573522654441732,-0.00790418889783748,-0.155586,-0.00752141,0.3152062405001429
0.0201551572501933,0.0302888049016823,-1.624930621792388,0.0,0.0,-1.05157,-0.15523964622237954,-0.007298105888912701,-0.15499,-0.00712293,0.30805052938799987
0.027722718523457108,0.031516661224104806,-1.4329979510872262,0.0,0.0,-1.03838,-0.15441688662326405,-0.006732313764257112,-0.15387,-0.00664358,0.3019536504756753
0.03783523807097165,0.03242720787943996,-1.2873428292752582,0.0,0.0,-1.02043,-0.15330480369024982,-0.006167852676843985,-0.152574,-0.00610205,0.29427787661755966
