ElapsedTime,RobotID,Team,Vx_Command,Vy_Command,Angular_Command,Pos_X,Pos_Y,Orientation,Vx_Actual,Vy_Actual
0.008,0,0,0,0,0,-0.9653787016868591,0.5366368293762207,-0,0.000000000000000965460191533266,-0.000000000000003579758002530835
0.008,1,0,0,0,0,0,0,0,0,0
0.008,2,0,0,0,0,0,0,0,0,0
0.008,3,0,0,0,0,0,0,0,0,0
0.008,4,0,0,0,0,0,0,0,0,0
0.008,5,0,0,0,0,0,0,0,0,0
0.008,0,1,0,0,0,0.15013086795806885,2.7253658771514893,-3.1415927410125732,-0.0000000000000009589620486850406,-0.000000000000010902395626500338
0.008,1,1,0,0,0,0,0,0,0,0
0.008,2,1,0,0,0,0,0,0,0,0
0.008,3,1,0,0,0,0,0,0,0,0
0.008,4,1,0,0,0,0,0,0,0,0
0.008,5,1,0,0,0,0,0,0,0,0
0.008,-1,-1,0,0,0,-0.4412214457988739,2.8385331630706787,0,-0.000000000000000033418903399443387,0.0000000000000011876984830807742
0.025,0,0,0,0,0,-0.9653787016868591,0.5366368293762207,-0,0.000000000000002570114867203832,-0.0000000000000027774306646955523
0.025,1,0,0,0,0,0,0,0,0,0
0.025,2,0,0,0,0,0,0,0,0,0
0.025,3,0,0,0,0,0,0,0,0,0
0.025,4,0,0,0,0,0,0,0,0,0
0.025,5,0,0,0,0,0,0,0,0,0
0.025,0,1,0,0,0,0.15013086795806885,2.7253658771514893,-3.1415927410125732,-0.0000000000000003572165453085783,-0.000000000000007693086275159205
0.025,1,1,0,0,0,0,0,0,0,0
0.025,2,1,0,0,0,0,0,0,0,0
0.025,3,1,0,0,0,0,0,0,0,0
0.025,4,1,0,0,0,0,0,0,0,0
0.025,5,1,0,0,0,0,0,0,0,0
0.025,-1,-1,0,0,0,-0.4412214457988739,2.8385331630706787,0,-0.0000000000000008357462412347263,0.000000000000007606317185763038
0.047,0,0,0,0,0,-0.9653787016868591,0.5366368293762207,-0,0.0000000000000033724422050391145,-0.000000000000001975103326860269
0.047,1,0,0,0,0,0,0,0,0,0
0.047,2,0,0,0,0,0,0,0,0,0
0.047,3,0,0,0,0,0,0,0,0,0
0.047,4,0,0,0,0,0,0,0,0,0
0.047,5,0,0,0,0,0,0,0,0,0
0.047,0,1,0,0,0,0.15013086795806885,2.7253658771514893,-3.1415927410125732,0.000000000000000043947123609063126,-0.000000000000001274467572476942
0.047,1,1,0,0,0,0,0,0,0,0
0.047,2,1,0,0,0,0,0,0,0,0
0.047,3,1,0,0,0,0,0,0,0,0
0.047,4,1,0,0,0,0,0,0,0,0
0.047,5,1,0,0,0,0,0,0,0,0
0.047,-1,-1,0,0,0,-0.4412214457988739,2.8385331630706787,0,-0.0000000000000012369099101523677,0.00000000000001081562653710417
0.076,0,0,0,0,0,-0.9653787016868591,0.5366368293762207,-0,0.0000000000000041747695428743976,-0.0000000000000011727759890249863
0.076,1,0,0,0,0,0,0,0,0,0
0.076,2,0,0,0,0,0,0,0,0,0
0.076,3,0,0,0,0,0,0,0,0,0
0.076,4,0,0,0,0,0,0,0,0,0
0.076,5,0,0,0,0,0,0,0,0,0
0.076,0,1,0,0,0,0.15013086795806885,2.7253658771514893,-3.1415927410125732,0.0000000000000004451107925267046,0.000000000000005144151130205321
0.076,1,1,0,0,0,0,0,0,0,0
0.076,2,1,0,0,0,0,0,0,0,0
0.076,3,1,0,0,0,0,0,0,0,0
0.076,4,1,0,0,0,0,0,0,0,0
0.076,5,1,0,0,0,0,0,0,0,0
0.076,-1,-1,0,0,0,-0.4412214457988739,2.8385331630706787,0,-0.000000000000001638073579070009,0.000000000000014024935888445303
0.093,0,0,0,0,0,-0.9653787016868591,0.5366368293762207,-0,0.0000000000000033724422050391145,0.0000000000000004318786866455795
0.093,1,0,0,0,0,0,0,0,0,0
0.093,2,0,0,0,0,0,0,0,0,0
0.093,3,0,0,0,0,0,0,0,0,0
0.093,4,0,0,0,0,0,0,0,0,0
0.093,5,0,0,0,0,0,0,0,0,0
0.093,0,1,0,0,0,0.15013086795806885,2.7253658771514893,-3.1415927410125732,0.000000000000001046856295903167,0.000000000000014772079184228718
0.093,1,1,0,0,0,0,0,0,0,0
0.093,2,1,0,0,0,0,0,0,0,0
0.093,3,1,0,0,0,0,0,0,0,0
0.093,4,1,0,0,0,0,0,0,0,0
0.093,5,1,0,0,0,0,0,0,0,0
0.093,-1,-1,0,0,0,-0.4412214457988739,2.8385331630706787,0,-0.0000000000000020392372479876506,0.00000000000001081562653710417
0.111,0,0,0,0,0,-0.9653787016868591,0.5366368293762207,-0,0.0000000000000025701148672038314,0.0000000000000012342060244808624
0.111,1,0,0,0,0,0,0,0,0,0
0.111,2,0,0,0,0,0,0,0,0,0
0.111,3,0,0,0,0,0,0,0,0,0
0.111,4,0,0,0,0,0,0,0,0,0
0.111,5,0,0,0,0,0,0,0,0,0
0.111,0,1,0,0,0,0.15013086795806885,2.7253658771514893,-3.1415927410125732,0.0000000000000006456926269855254,0.000000000000008353460481546454
0.111,1,1,0,0,0,0,0,0,0,0
0.111,2,1,0,0,0,0,0,0,0,0
0.111,3,1,0,0,0,0,0,0,0,0
0.111,4,1,0,0,0,0,0,0,0,0
0.111,5,1,0,0,0,0,0,0,0,0
0.111,-1,-1,0,0,0,-0.4412214457988739,2.8385331630706787,0,-0.000000000000001638073579070009,0.000000000000007606317185763038
0.140,0,0,0,0,0,-0.9653787016868591,0.5366368293762207,-0,0.0000000000000017677875293685485,0.0000000000000020365333623161455
0.140,1,0,0,0,0,0,0,0,0,0
0.140,2,0,0,0,0,0,0,0,0,0
0.140,3,0,0,0,0,0,0,0,0,0
0.140,4,0,0,0,0,0,0,0,0,0
0.140,5,0,0,0,0,0,0,0,0,0
0.140,0,1,0,0,0,0.15013086795806885,2.7253658771514893,-3.1415927410125732,0.0000000000000002445289580678839,0.0000000000000019348417788641904
0.140,1,1,0,0,0,0,0,0,0,0
0.140,2,1,0,0,0,0,0,0,0,0
0.140,3,1,0,0,0,0,0,0,0,0
0.140,4,1,0,0,0,0,0,0,0,0
0.140,5,1,0,0,0,0,0,0,0,0
0.140,-1,-1,0,0,0,-0.4412214457988739,2.8385331630706787,0,-0.0000000000000012369099101523675,0.0000000000000043970078344219066
0.161,0,0,0,0,0,-0.9653787016868591,0.5366368293762207,-0,0.0000000000000009654601915332656,0.0000000000000028388607001514286
0.161,1,0,0,0,0,0,0,0,0,0
0.161,2,0,0,0,0,0,0,0,0,0
0.161,3,0,0,0,0,0,0,0,0,0
0.161,4,0,0,0,0,0,0,0,0,0
0.161,5,0,0,0,0,0,0,0,0,0
0.161,0,1,0,0,0,0.15013086795806885,2.7253658771514893,-3.1415927410125732,-0.00000000000000015663471084975755,-0.000000000000004483776923818073
0.161,1,1,0,0,0,0,0,0,0,0
0.161,2,1,0,0,0,0,0,0,0,0
0.161,3,1,0,0,0,0,0,0,0,0
0.161,4,1,0,0,0,0,0,0,0,0
0.161,5,1,0,0,0,0,0,0,0,0
0.161,-1,-1,0,0,0,-0.4412214457988739,2.8385331630706787,0,-0.0000000000000008357462412347261,0.000000000000001187698483080775
0.178,0,0,0,0,0,-0.9653787016868591,0.5366368293762207,-0,0.00000000000000016313285369798274,0.000000000000003641188037986712
0.178,1,0,0,0,0,0,0,0,0,0
0.178,2,0,0,0,0,0,0,0,0,0
0.178,3,0,0,0,0,0,0,0,0,0
0.178,4,0,0,0,0,0,0,0,0,0
0.178,5,0,0,0,0,0,0,0,0,0
0.178,0,1,0,0,0,0.15013086795806885,2.7253658771514893,-3.1415927410125732,-0.000000000000000557798379767399,-0.000000000000010902395626500338
0.178,1,1,0,0,0,0,0,0,0,0
0.178,2,1,0,0,0,0,0,0,0,0
0.178,3,1,0,0,0,0,0,0,0,0
0.178,4,1,0,0,0,0,0,0,0,0
0.178,5,1,0,0,0,0,0,0,0,0
0.178,-1,-1,0,0,0,-0.4412214457988739,2.8385331630706787,0,-0.00000000000000043458257231708464,-0.0000000000000020216108682603566
0.195,0,0,0,0,0,-0.9653787016868591,0.5366368293762207,-0,-0.000000000000001441521821972583,0.0000000000000028388607001514286
0.195,1,0,0,0,0,0,0,0,0,0
0.195,2,0,0,0,0,0,0,0,0,0
0.195,3,0,0,0,0,0,0,0,0,0
0.195,4,0,0,0,0,0,0,0,0,0
0.195,5,0,0,0,0,0,0,0,0,0
0.195,0,1,0,0,0,0.15013086795806885,2.7253658771514893,-3.1415927410125732,-0.0000000000000007583802142262198,-0.000000000000007693086275159205
0.195,1,1,0,0,0,0,0,0,0,0
0.195,2,1,0,0,0,0,0,0,0,0
0.195,3,1,0,0,0,0,0,0,0,0
0.195,4,1,0,0,0,0,0,0,0,0
0.195,5,1,0,0,0,0,0,0,0,0
