ElapsedTime,RobotID,Team,Vx_Command,Vy_Command,Angular_Command,Pos_X,Pos_Y,Orientation,Vx_Actual,Vy_Actual
0.004,0,0,1.39231,0,0,0.110626,-0.15029,-2.82309,-0.687604,-0.236411
0.004,1,0,0,0,0,0,0,0,0,0
0.004,2,0,0,0,0,0,0,0,0,0
0.004,3,0,0,0,0,0,0,0,0,0
0.004,4,0,0,0,0,0,0,0,0,0
0.004,5,0,0,0,0,0,0,0,0,0
0.004,0,1,0,0,0,0,0,0,0,0
0.004,1,1,0,0,0,0,0,0,0,0
0.004,2,1,0,0,0,0,0,0,0,0
0.004,3,1,0,0,0,0,0,0,0,0
0.004,4,1,0,0,0,0,0,0,0,0
0.004,5,1,0,0,0,0,0,0,0,0
0.020,0,0,1.39231,0,0,0.0991685,-0.154174,-2.8294,-0.694503,-0.237945
0.020,1,0,0,0,0,0,0,0,0,0
0.020,2,0,0,0,0,0,0,0,0,0
0.020,3,0,0,0,0,0,0,0,0,0
0.020,4,0,0,0,0,0,0,0,0,0
0.020,5,0,0,0,0,0,0,0,0,0
0.020,0,1,0,0,0,0,0,0,0,0
0.020,1,1,0,0,0,0,0,0,0,0
0.020,2,1,0,0,0,0,0,0,0,0
0.020,3,1,0,0,0,0,0,0,0,0
0.020,4,1,0,0,0,0,0,0,0,0
0.020,5,1,0,0,0,0,0,0,0,0
0.036,0,0,1.39231,0,0,0.0875943,-0.158252,-2.83808,-0.701493,-0.24204
0.036,1,0,0,0,0,0,0,0,0,0
0.036,2,0,0,0,0,0,0,0,0,0
0.036,3,0,0,0,0,0,0,0,0,0
0.036,4,0,0,0,0,0,0,0,0,0
0.036,5,0,0,0,0,0,0,0,0,0
0.036,0,1,0,0,0,0,0,0,0,0
0.036,1,1,0,0,0,0,0,0,0,0
0.036,2,1,0,0,0,0,0,0,0,0
0.036,3,1,0,0,0,0,0,0,0,0
0.036,4,1,0,0,0,0,0,0,0,0
0.036,5,1,0,0,0,0,0,0,0,0
0.051,0,0,1.39231,0,0,0.0764172,-0.162941,-2.85066,-0.700786,-0.254389
0.051,1,0,0,0,0,0,0,0,0,0
0.051,2,0,0,0,0,0,0,0,0,0
0.051,3,0,0,0,0,0,0,0,0,0
0.051,4,0,0,0,0,0,0,0,0,0
0.051,5,0,0,0,0,0,0,0,0,0
0.051,0,1,0,0,0,0,0,0,0,0
0.051,1,1,0,0,0,0,0,0,0,0
0.051,2,1,0,0,0,0,0,0,0,0
0.051,3,1,0,0,0,0,0,0,0,0
0.051,4,1,0,0,0,0,0,0,0,0
0.051,5,1,0,0,0,0,0,0,0,0
0.067,0,0,1.39231,0,0,0.0647736,-0.16785,-2.86567,-0.707306,-0.267087
0.067,1,0,0,0,0,0,0,0,0,0
0.067,2,0,0,0,0,0,0,0,0,0
0.067,3,0,0,0,0,0,0,0,0,0
0.067,4,0,0,0,0,0,0,0,0,0
0.067,5,0,0,0,0,0,0,0,0,0
0.067,0,1,0,0,0,0,0,0,0,0
0.067,1,1,0,0,0,0,0,0,0,0
0.067,2,1,0,0,0,0,0,0,0,0
0.067,3,1,0,0,0,0,0,0,0,0
0.067,4,1,0,0,0,0,0,0,0,0
0.067,5,1,0,0,0,0,0,0,0,0
0.084,0,0,1.39231,0,0,0.0526908,-0.17248,-2.87982,-0.718891,-0.272471
0.084,1,0,0,0,0,0,0,0,0,0
0.084,2,0,0,0,0,0,0,0,0,0
0.084,3,0,0,0,0,0,0,0,0,0
0.084,4,0,0,0,0,0,0,0,0,0
0.084,5,0,0,0,0,0,0,0,0,0
0.084,0,1,0,0,0,0,0,0,0,0
0.084,1,1,0,0,0,0,0,0,0,0
0.084,2,1,0,0,0,0,0,0,0,0
0.084,3,1,0,0,0,0,0,0,0,0
0.084,4,1,0,0,0,0,0,0,0,0
0.084,5,1,0,0,0,0,0,0,0,0
0.100,0,0,1.39231,0,0,0.0401805,-0.176799,-2.89455,-0.73414,-0.271868
0.100,1,0,0,0,0,0,0,0,0,0
0.100,2,0,0,0,0,0,0,0,0,0
0.100,3,0,0,0,0,0,0,0,0,0
0.100,4,0,0,0,0,0,0,0,0,0
0.100,5,0,0,0,0,0,0,0,0,0
0.100,0,1,0,0,0,0,0,0,0,0
0.100,1,1,0,0,0,0,0,0,0,0
0.100,2,1,0,0,0,0,0,0,0,0
0.100,3,1,0,0,0,0,0,0,0,0
0.100,4,1,0,0,0,0,0,0,0,0
0.100,5,1,0,0,0,0,0,0,0,0
0.115,0,0,1.39231,0,0,0.0275916,-0.18196,-2.90916,-0.746886,-0.284124
0.115,1,0,0,0,0,0,0,0,0,0
0.115,2,0,0,0,0,0,0,0,0,0
0.115,3,0,0,0,0,0,0,0,0,0
0.115,4,0,0,0,0,0,0,0,0,0
0.115,5,0,0,0,0,0,0,0,0,0
0.115,0,1,0,0,0,0,0,0,0,0
0.115,1,1,0,0,0,0,0,0,0,0
0.115,2,1,0,0,0,0,0,0,0,0
0.115,3,1,0,0,0,0,0,0,0,0
0.115,4,1,0,0,0,0,0,0,0,0
0.115,5,1,0,0,0,0,0,0,0,0
0.131,0,0,1.39231,0,0,0.0149266,-0.187285,-2.92372,-0.757699,-0.295909
0.131,1,0,0,0,0,0,0,0,0,0
0.131,2,0,0,0,0,0,0,0,0,0
0.131,3,0,0,0,0,0,0,0,0,0
0.131,4,0,0,0,0,0,0,0,0,0
0.131,5,0,0,0,0,0,0,0,0,0
0.131,0,1,0,0,0,0,0,0,0,0
0.131,1,1,0,0,0,0,0,0,0,0
0.131,2,1,0,0,0,0,0,0,0,0
0.131,3,1,0,0,0,0,0,0,0,0
0.131,4,1,0,0,0,0,0,0,0,0
0.131,5,1,0,0,0,0,0,0,0,0
0.148,0,0,1.39231,0,0,0.00159215,-0.192786,-2.93582,-0.776022,-0.307504
0.148,1,0,0,0,0,0,0,0,0,0
0.148,2,0,0,0,0,0,0,0,0,0
0.148,3,0,0,0,0,0,0,0,0,0
0.148,4,0,0,0,0,0,0,0,0,0
0.148,5,0,0,0,0,0,0,0,0,0
0.148,0,1,0,0,0,0,0,0,0,0
0.148,1,1,0,0,0,0,0,0,0,0
0.148,2,1,0,0,0,0,0,0,0,0
0.148,3,1,0,0,0,0,0,0,0,0
0.148,4,1,0,0,0,0,0,0,0,0
0.148,5,1,0,0,0,0,0,0,0,0
0.164,0,0,1.39231,0,0,-0.0122873,-0.198665,-2.94885,-0.798153,-0.322014
0.164,1,0,0,0,0,0,0,0,0,0
0.164,2,0,0,0,0,0,0,0,0,0
0.164,3,0,0,0,0,0,0,0,0,0
0.164,4,0,0,0,0,0,0,0,0,0
0.164,5,0,0,0,0,0,0,0,0,0
0.164,0,1,0,0,0,0,0,0,0,0
0.164,1,1,0,0,0,0,0,0,0,0
0.164,2,1,0,0,0,0,0,0,0,0
0.164,3,1,0,0,0,0,0,0,0,0
0.164,4,1,0,0,0,0,0,0,0,0
0.164,5,1,0,0,0,0,0,0,0,0
0.179,0,0,1.39231,0,0,-0.0259434,-0.204434,-2.96229,-0.811551,-0.33134
0.179,1,0,0,0,0,0,0,0,0,0
0.179,2,0,0,0,0,0,0,0,0,0
0.179,3,0,0,0,0,0,0,0,0,0
0.179,4,0,0,0,0,0,0,0,0,0
0.179,5,0,0,0,0,0,0,0,0,0
0.179,0,1,0,0,0,0,0,0,0,0
0.179,1,1,0,0,0,0,0,0,0,0
0.179,2,1,0,0,0,0,0,0,0,0
0.179,3,1,0,0,0,0,0,0,0,0
0.179,4,1,0,0,0,0,0,0,0,0
0.179,5,1,0,0,0,0,0,0,0,0
0.196,0,0,1.39231,0,0,-0.0396438,-0.210099,-2.97597,-0.822375,-0.336847
0.196,1,0,0,0,0,0,0,0,0,0
0.196,2,0,0,0,0,0,0,0,0,0
0.196,3,0,0,0,0,0,0,0,0,0
0.196,4,0,0,0,0,0,0,0,0,0
0.196,5,0,0,0,0,0,0,0,0,0
0.196,0,1,0,0,0,0,0,0,0,0
0.196,1,1,0,0,0,0,0,0,0,0
0.196,2,1,0,0,0,0,0,0,0,0
0.196,3,1,0,0,0,0,0,0,0,0
0.196,4,1,0,0,0,0,0,0,0,0
0.196,5,1,0,0,0,0,0,0,0,0
0.212,0,0,1.39231,0,0,-0.0540632,-0.215654,-2.98579,-0.841456,-0.33935
0.212,1,0,0,0,0,0,0,0,0,0
0.212,2,0,0,0,0,0,0,0,0,0
0.212,3,0,0,0,0,0,0,0,0,0
0.212,4,0,0,0,0,0,0,0,0,0
0.212,5,0,0,0,0,0,0,0,0,0
0.212,0,1,0,0,0,0,0,0,0,0
0.212,1,1,0,0,0,0,0,0,0,0
0.212,2,1,0,0,0,0,0,0,0,0
0.212,3,1,0,0,0,0,0,0,0,0
0.212,4,1,0,0,0,0,0,0,0,0
0.212,5,1,0,0,0,0,0,0,0,0
0.228,0,0,1.39231,0,0,-0.0687002,-0.222019,-2.99572,-0.85921,-0.353495
0.228,1,0,0,0,0,0,0,0,0,0
0.228,2,0,0,0,0,0,0,0,0,0
0.228,3,0,0,0,0,0,0,0,0,0
0.228,4,0,0,0,0,0,0,0,0,0
0.228,5,0,0,0,0,0,0,0,0,0
0.228,0,1,0,0,0,0,0,0,0,0
0.228,1,1,0,0,0,0,0,0,0,0
0.228,2,1,0,0,0,0,0,0,0,0
0.228,3,1,0,0,0,0,0,0,0,0
0.228,4,1,0,0,0,0,0,0,0,0
0.228,5,1,0,0,0,0,0,0,0,0
0.243,0,0,1.39231,0,0,-0.0830576,-0.228427,-3.00896,-0.868439,-0.36488
0.243,1,0,0,0,0,0,0,0,0,0
0.243,2,0,0,0,0,0,0,0,0,0
